inst#,actual,predicted,error,prediction
1,7:frog,3:bird,+,0.377
2,7:frog,5:deer,+,0.604
3,7:frog,6:dog,+,0.324
4,7:frog,6:dog,+,0.324
5,7:frog,3:bird,+,0.555
6,7:frog,3:bird,+,0.629
7,7:frog,7:frog,,0.558
8,7:frog,3:bird,+,0.377
9,7:frog,5:deer,+,0.581
10,7:frog,5:deer,+,0.529
11,7:frog,6:dog,+,0.544
12,7:frog,7:frog,,0.446
13,7:frog,6:dog,+,0.544
14,7:frog,6:dog,+,0.548
15,7:frog,7:frog,,0.558
16,7:frog,5:deer,+,0.529
17,7:frog,7:frog,,0.446
18,7:frog,3:bird,+,0.37
19,7:frog,4:cat,+,0.392
20,7:frog,7:frog,,0.552
21,7:frog,6:dog,+,0.402
22,7:frog,1:airplane,+,0.713
23,7:frog,6:dog,+,0.324
24,7:frog,7:frog,,0.558
25,7:frog,7:frog,,0.556
26,7:frog,7:frog,,0.556
27,7:frog,3:bird,+,0.377
28,7:frog,3:bird,+,0.555
29,7:frog,7:frog,,0.537
30,7:frog,5:deer,+,0.578
31,7:frog,6:dog,+,0.544
32,7:frog,7:frog,,0.446
33,7:frog,4:cat,+,0.392
34,7:frog,6:dog,+,0.324
35,7:frog,3:bird,+,0.629
36,7:frog,8:horse,+,0.728
37,7:frog,7:frog,,0.558
38,7:frog,6:dog,+,0.544
39,7:frog,7:frog,,0.558
40,7:frog,5:deer,+,0.604
41,7:frog,3:bird,+,0.629
42,9:ship,1:airplane,+,0.451
43,9:ship,3:bird,+,0.377
44,9:ship,9:ship,,0.742
45,9:ship,9:ship,,0.487
46,9:ship,9:ship,,0.372
47,9:ship,9:ship,,0.638
48,9:ship,1:airplane,+,0.734
49,9:ship,1:airplane,+,0.631
50,9:ship,9:ship,,0.372
51,9:ship,9:ship,,0.742
52,9:ship,9:ship,,0.738
53,9:ship,9:ship,,0.742
54,9:ship,3:bird,+,0.37
55,9:ship,1:airplane,+,0.713
56,9:ship,9:ship,,0.738
57,9:ship,9:ship,,0.748
58,9:ship,9:ship,,0.493
59,9:ship,9:ship,,0.702
60,9:ship,9:ship,,0.638
61,9:ship,9:ship,,0.748
62,9:ship,9:ship,,0.742
63,9:ship,9:ship,,0.749
64,9:ship,9:ship,,0.748
65,9:ship,9:ship,,0.748
66,9:ship,9:ship,,0.372
67,9:ship,9:ship,,0.372
68,9:ship,7:frog,+,0.552
69,9:ship,1:airplane,+,0.733
70,9:ship,9:ship,,0.748
71,9:ship,9:ship,,0.372
72,9:ship,9:ship,,0.748
73,9:ship,9:ship,,0.487
74,9:ship,9:ship,,0.748
75,9:ship,9:ship,,0.638
76,9:ship,9:ship,,0.493
77,9:ship,9:ship,,0.745
78,9:ship,1:airplane,+,0.47
79,9:ship,9:ship,,0.749
80,9:ship,9:ship,,0.493
81,9:ship,9:ship,,0.745
82,1:airplane,1:airplane,,0.47
83,1:airplane,3:bird,+,0.377
84,1:airplane,7:frog,+,0.558
85,1:airplane,1:airplane,,0.734
86,1:airplane,9:ship,+,0.487
87,1:airplane,1:airplane,,0.734
88,1:airplane,9:ship,+,0.493
89,1:airplane,1:airplane,,0.631
90,1:airplane,9:ship,+,0.738
91,1:airplane,4:cat,+,0.351
92,1:airplane,10:truck,+,0.513
93,1:airplane,1:airplane,,0.733
94,1:airplane,1:airplane,,0.713
95,1:airplane,9:ship,+,0.749
96,1:airplane,1:airplane,,0.713
97,1:airplane,9:ship,+,0.742
98,1:airplane,1:airplane,,0.734
99,1:airplane,10:truck,+,0.657
100,1:airplane,1:airplane,,0.733
101,1:airplane,1:airplane,,0.713
102,1:airplane,4:cat,+,0.351
103,1:airplane,1:airplane,,0.733
104,1:airplane,1:airplane,,0.631
105,1:airplane,6:dog,+,0.404
106,1:airplane,6:dog,+,0.544
107,1:airplane,5:deer,+,0.604
108,1:airplane,2:automobile,+,0.387
109,1:airplane,5:deer,+,0.559
110,1:airplane,1:airplane,,0.451
111,1:airplane,3:bird,+,0.37
112,1:airplane,1:airplane,,0.734
113,1:airplane,1:airplane,,0.631
114,1:airplane,1:airplane,,0.733
115,1:airplane,1:airplane,,0.734
116,1:airplane,5:deer,+,0.559
117,1:airplane,3:bird,+,0.495
118,1:airplane,1:airplane,,0.734
119,1:airplane,2:automobile,+,0.586
120,2:automobile,6:dog,+,0.545
121,2:automobile,4:cat,+,0.392
122,2:automobile,2:automobile,,0.708
123,2:automobile,2:automobile,,0.614
124,2:automobile,3:bird,+,0.555
125,2:automobile,2:automobile,,0.697
126,2:automobile,2:automobile,,0.699
127,2:automobile,1:airplane,+,0.733
128,2:automobile,10:truck,+,0.482
129,2:automobile,1:airplane,+,0.734
130,2:automobile,5:deer,+,0.56
131,2:automobile,6:dog,+,0.402
132,2:automobile,2:automobile,,0.708
133,2:automobile,2:automobile,,0.614
134,2:automobile,6:dog,+,0.545
135,2:automobile,10:truck,+,0.648
136,2:automobile,2:automobile,,0.671
137,2:automobile,7:frog,+,0.537
138,2:automobile,4:cat,+,0.351
139,2:automobile,8:horse,+,0.753
140,2:automobile,10:truck,+,0.513
141,2:automobile,10:truck,+,0.486
142,2:automobile,2:automobile,,0.699
143,2:automobile,2:automobile,,0.697
144,2:automobile,2:automobile,,0.691
145,2:automobile,5:deer,+,0.604
146,2:automobile,10:truck,+,0.486
147,2:automobile,2:automobile,,0.671
148,2:automobile,2:automobile,,0.671
149,2:automobile,2:automobile,,0.586
150,2:automobile,2:automobile,,0.708
151,2:automobile,2:automobile,,0.614
152,2:automobile,3:bird,+,0.595
153,2:automobile,2:automobile,,0.708
154,2:automobile,2:automobile,,0.697
155,2:automobile,10:truck,+,0.482
156,2:automobile,8:horse,+,0.722
157,2:automobile,4:cat,+,0.444
158,2:automobile,2:automobile,,0.671
159,8:horse,3:bird,+,0.377
160,8:horse,6:dog,+,0.544
161,8:horse,4:cat,+,0.374
162,8:horse,8:horse,,0.753
163,8:horse,4:cat,+,0.444
164,8:horse,6:dog,+,0.544
165,8:horse,6:dog,+,0.545
166,8:horse,8:horse,,0.728
167,8:horse,8:horse,,0.753
168,8:horse,9:ship,+,0.372
169,8:horse,8:horse,,0.539
170,8:horse,8:horse,,0.728
171,8:horse,7:frog,+,0.537
172,8:horse,8:horse,,0.753
173,8:horse,9:ship,+,0.742
174,8:horse,7:frog,+,0.552
175,8:horse,8:horse,,0.728
176,8:horse,8:horse,,0.75
177,8:horse,6:dog,+,0.544
178,8:horse,8:horse,,0.728
179,8:horse,1:airplane,+,0.734
180,8:horse,10:truck,+,0.658
181,8:horse,8:horse,,0.539
182,8:horse,8:horse,,0.753
183,8:horse,5:deer,+,0.56
184,8:horse,8:horse,,0.753
185,8:horse,8:horse,,0.75
186,8:horse,7:frog,+,0.552
187,8:horse,7:frog,+,0.552
188,8:horse,8:horse,,0.75
189,8:horse,10:truck,+,0.648
190,8:horse,6:dog,+,0.545
191,8:horse,8:horse,,0.748
192,8:horse,6:dog,+,0.544
193,8:horse,3:bird,+,0.37
194,8:horse,2:automobile,+,0.614
195,8:horse,6:dog,+,0.544
196,8:horse,8:horse,,0.728
197,8:horse,6:dog,+,0.53
198,8:horse,8:horse,,0.75
199,8:horse,5:deer,+,0.559
200,3:bird,3:bird,,0.377
201,3:bird,3:bird,,0.495
202,3:bird,3:bird,,0.734
203,3:bird,5:deer,+,0.604
204,3:bird,3:bird,,0.585
205,3:bird,3:bird,,0.37
206,3:bird,1:airplane,+,0.734
207,3:bird,3:bird,,0.629
208,3:bird,3:bird,,0.377
209,3:bird,3:bird,,0.377
210,3:bird,3:bird,,0.377
211,3:bird,3:bird,,0.629
212,3:bird,7:frog,+,0.552
213,3:bird,3:bird,,0.734
214,3:bird,1:airplane,+,0.733
215,3:bird,6:dog,+,0.398
216,3:bird,3:bird,,0.803
217,3:bird,1:airplane,+,0.734
218,3:bird,1:airplane,+,0.734
219,3:bird,3:bird,,0.629
220,3:bird,3:bird,,0.629
221,3:bird,8:horse,+,0.748
222,3:bird,2:automobile,+,0.671
223,3:bird,3:bird,,0.555
224,3:bird,3:bird,,0.69
225,3:bird,3:bird,,0.495
226,3:bird,6:dog,+,0.544
227,3:bird,3:bird,,0.629
228,3:bird,3:bird,,0.37
229,3:bird,3:bird,,0.377
230,3:bird,6:dog,+,0.54
231,3:bird,3:bird,,0.585
232,3:bird,3:bird,,0.377
233,3:bird,6:dog,+,0.544
234,3:bird,6:dog,+,0.545
235,3:bird,3:bird,,0.585
236,3:bird,8:horse,+,0.539
237,3:bird,6:dog,+,0.544
238,3:bird,6:dog,+,0.544
239,3:bird,3:bird,,0.629
240,3:bird,3:bird,,0.629
241,4:cat,4:cat,,0.444
242,4:cat,6:dog,+,0.544
243,4:cat,7:frog,+,0.446
244,4:cat,6:dog,+,0.544
245,4:cat,6:dog,+,0.544
246,4:cat,4:cat,,0.459
247,4:cat,5:deer,+,0.56
248,4:cat,6:dog,+,0.324
249,4:cat,6:dog,+,0.548
250,4:cat,3:bird,+,0.629
251,4:cat,6:dog,+,0.544
252,4:cat,6:dog,+,0.54
253,4:cat,4:cat,,0.374
254,4:cat,8:horse,+,0.75
255,4:cat,6:dog,+,0.53
256,4:cat,4:cat,,0.444
257,4:cat,6:dog,+,0.545
258,4:cat,7:frog,+,0.537
